step,time,x,y,z,roll,pitch,yaw,p_gain_mult,seed
0,0.0,0.0,0.0,0.09982986003160477,0.0,-0.0,0.0,0.6,42
1,0.004166666666666667,0.0,0.0,0.09974229335784912,0.0,-0.0,0.0,0.6,42
2,0.008333333333333333,0.0,0.0,0.0997372642159462,0.0,-0.0,0.0,0.6,42
3,0.0125,0.0,0.0,0.0998147502541542,0.0,-0.0,0.0,0.6,42
4,0.016666666666666666,0.0,0.0,0.09997471421957016,0.0,-0.0,0.0,0.6,42
5,0.020833333333333332,0.0,0.0,0.10021713376045227,0.0,-0.0,0.0,0.6,42
6,0.025,0.0,0.0,0.10054197907447815,0.0,-0.0,0.0,0.6,42
7,0.029166666666666667,0.0,0.0,0.10094922035932541,0.0,-0.0,0.0,0.6,42
8,0.03333333333333333,0.0,0.0,0.10143882781267166,0.0,-0.0,0.0,0.6,42
9,0.0375,0.0,0.0,0.10201077163219452,0.0,-0.0,0.0,0.6,42
10,0.041666666666666664,0.0,0.0,0.1026650220155716,0.0,-0.0,0.0,0.6,42
11,0.04583333333333333,0.0,0.0,0.1034015491604805,0.0,-0.0,0.0,0.6,42
12,0.05,0.0,0.0,0.10422030836343765,0.0,-0.0,0.0,0.6,42
13,0.05416666666666667,0.0,0.0,0.10512128472328186,0.0,-0.0,0.0,0.6,42
14,0.058333333333333334,0.0,0.0,0.10610443353652954,0.0,-0.0,0.0,0.6,42
15,0.0625,0.0,0.0,0.1071697250008583,0.0,-0.0,0.0,0.6,42
16,0.06666666666666667,0.0,0.0,0.10831712186336517,0.0,-0.0,0.0,0.6,42
17,0.07083333333333333,0.0,0.0,0.10954658687114716,0.0,-0.0,0.0,0.6,42
18,0.075,0.0,0.0,0.11085809022188187,0.0,-0.0,0.0,0.6,42
19,0.07916666666666666,0.0,0.0,0.11225160211324692,0.0,-0.0,0.0,0.6,42
20,0.08333333333333333,0.0,0.0,0.11372707039117813,0.0,-0.0,0.0,0.6,42
21,0.0875,0.0,0.0,0.11528447270393372,0.0,-0.0,0.0,0.6,42
22,0.09166666666666666,0.0,0.0,0.11692376434803009,0.0,-0.0,0.0,0.6,42
23,0.09583333333333334,0.0,0.0,0.11864490807056427,0.0,-0.0,0.0,0.6,42
24,0.1,0.0,0.0,0.12044786661863327,0.0,-0.0,0.0,0.6,42
25,0.10416666666666667,0.0,0.0,0.1223326027393341,0.0,-0.0,0.0,0.6,42
26,0.10833333333333334,0.0,0.0,0.1242990717291832,0.0,-0.0,0.0,0.6,42
27,0.1125,0.0,0.0,0.12634722888469696,0.0,-0.0,0.0,0.6,42
28,0.11666666666666667,0.0,0.0,0.1284770518541336,0.0,-0.0,0.0,0.6,42
29,0.12083333333333333,0.0,0.0,0.13068848848342896,0.0,-0.0,0.0,0.6,42
30,0.125,0.0,0.0,0.13298149406909943,0.0,-0.0,0.0,0.6,42
31,0.12916666666666668,0.0,0.0,0.13535603880882263,0.0,-0.0,0.0,0.6,42
32,0.13333333333333333,0.0,0.0,0.1378120630979538,0.0,-0.0,0.0,0.6,42
33,0.1375,0.0,0.0,0.14034953713417053,0.0,-0.0,0.0,0.6,42
34,0.14166666666666666,0.0,0.0,0.14296841621398926,0.0,-0.0,0.0,0.6,42
35,0.14583333333333334,0.0,0.0,0.1456686556339264,0.0,-0.0,0.0,0.6,42
36,0.15,0.0,0.0,0.14845019578933716,0.0,-0.0,0.0,0.6,42
37,0.15416666666666667,0.0,0.0,0.15131302177906036,0.0,-0.0,0.0,0.6,42
38,0.15833333333333333,0.0,0.0,0.15425705909729004,0.0,-0.0,0.0,0.6,42
39,0.1625,0.0,0.0,0.1572822779417038,0.0,-0.0,0.0,0.6,42
40,0.16666666666666666,0.0,0.0,0.16038861870765686,0.0,-0.0,0.0,0.6,42
41,0.17083333333333334,0.0,0.0,0.16357603669166565,0.0,-0.0,0.0,0.6,42
42,0.175,0.0,0.0,0.16684450209140778,0.0,-0.0,0.0,0.6,42
43,0.17916666666666667,0.0,0.0,0.17019395530223846,0.0,-0.0,0.0,0.6,42
44,0.18333333333333332,0.0,0.0,0.17362433671951294,0.0,-0.0,0.0,0.6,42
45,0.1875,0.0,0.0,0.1771356165409088,0.0,-0.0,0.0,0.6,42
46,0.19166666666666668,0.0,0.0,0.1807277351617813,0.0,-0.0,0.0,0.6,42
47,0.19583333333333333,0.0,0.0,0.18440064787864685,0.0,-0.0,0.0,0.6,42
48,0.2,0.0,0.0,0.18815430998802185,0.0,-0.0,0.0,0.6,42
49,0.20416666666666666,0.0,0.0,0.19198866188526154,0.0,-0.0,0.0,0.6,42
50,0.20833333333333334,0.0,0.0,0.19590364396572113,0.0,-0.0,0.0,0.6,42
51,0.2125,0.0,0.0,0.19989919662475586,0.0,-0.0,0.0,0.6,42
52,0.21666666666666667,0.0,0.0,0.20397529006004333,0.0,-0.0,0.0,0.6,42
53,0.22083333333333333,0.0,0.0,0.20813186466693878,0.0,-0.0,0.0,0.6,42
54,0.225,0.0,0.0,0.21236886084079742,0.0,-0.0,0.0,0.6,42
55,0.22916666666666666,0.0,0.0,0.21668623387813568,0.0,-0.0,0.0,0.6,42
56,0.23333333333333334,0.0,0.0,0.22108392417430878,0.0,-0.0,0.0,0.6,42
57,0.2375,0.0,0.0,0.22556187212467194,0.0,-0.0,0.0,0.6,42
58,0.24166666666666667,0.0,0.0,0.23012003302574158,0.0,-0.0,0.0,0.6,42
59,0.24583333333333332,0.0,0.0,0.2347492277622223,0.0,-0.0,0.0,0.6,42
60,0.25,0.0,0.0,0.2394394427537918,0.0,-0.0,0.0,0.6,42
61,0.25416666666666665,0.0,0.0,0.24418140947818756,0.0,-0.0,0.0,0.6,42
62,0.25833333333333336,0.0,0.0,0.2489665299654007,0.0,-0.0,0.0,0.6,42
63,0.2625,0.0,0.0,0.2537868320941925,0.0,-0.0,0.0,0.6,42
64,0.26666666666666666,0.0,0.0,0.25863492488861084,0.0,-0.0,0.0,0.6,42
65,0.2708333333333333,0.0,0.0,0.2635039687156677,0.0,-0.0,0.0,0.6,42
66,0.275,0.0,0.0,0.26838764548301697,0.0,-0.0,0.0,0.6,42
67,0.2791666666666667,0.0,0.0,0.2732801139354706,0.0,-0.0,0.0,0.6,42
68,0.2833333333333333,0.0,0.0,0.278175950050354,0.0,-0.0,0.0,0.6,42
69,0.2875,0.0,0.0,0.2830702066421509,0.0,-0.0,0.0,0.6,42
70,0.2916666666666667,0.0,0.0,0.2879582345485687,0.0,-0.0,0.0,0.6,42
71,0.29583333333333334,0.0,0.0,0.2928358316421509,0.0,-0.0,0.0,0.6,42
72,0.3,0.0,0.0,0.29769912362098694,0.0,-0.0,0.0,0.6,42
73,0.30416666666666664,0.0,0.0,0.302544504404068,0.0,-0.0,0.0,0.6,42
74,0.30833333333333335,0.0,0.0,0.3073686957359314,0.0,-0.0,0.0,0.6,42
75,0.3125,0.0,0.0,0.31216874718666077,0.0,-0.0,0.0,0.6,42
76,0.31666666666666665,0.0,0.0,0.31694185733795166,0.0,-0.0,0.0,0.6,42
77,0.32083333333333336,0.0,0.0,0.3216855227947235,0.0,-0.0,0.0,0.6,42
78,0.325,0.0,0.0,0.32639747858047485,0.0,-0.0,0.0,0.6,42
79,0.32916666666666666,0.0,0.0,0.33107563853263855,0.0,-0.0,0.0,0.6,42
80,0.3333333333333333,0.0,0.0,0.3357181251049042,0.0,-0.0,0.0,0.6,42
81,0.3375,0.0,0.0,0.34032323956489563,0.0,-0.0,0.0,0.6,42
82,0.3416666666666667,0.0,0.0,0.34488943219184875,0.0,-0.0,0.0,0.6,42
83,0.3458333333333333,0.0,0.0,0.3494153618812561,0.0,-0.0,0.0,0.6,42
84,0.35,0.0,0.0,0.3538997769355774,0.0,-0.0,0.0,0.6,42
85,0.3541666666666667,0.0,0.0,0.35834160447120667,0.0,-0.0,0.0,0.6,42
86,0.35833333333333334,0.0,0.0,0.3627398610115051,0.0,-0.0,0.0,0.6,42
87,0.3625,0.0,0.0,0.36709368228912354,0.0,-0.0,0.0,0.6,42
88,0.36666666666666664,0.0,0.0,0.3714023232460022,0.0,-0.0,0.0,0.6,42
89,0.37083333333333335,0.0,0.0,0.37566518783569336,0.0,-0.0,0.0,0.6,42
90,0.375,0.0,0.0,0.37988168001174927,0.0,-0.0,0.0,0.6,42
91,0.37916666666666665,0.0,0.0,0.3840513825416565,0.0,-0.0,0.0,0.6,42
92,0.38333333333333336,0.0,0.0,0.388173907995224,0.0,-0.0,0.0,0.6,42
93,0.3875,0.0,0.0,0.3922489285469055,0.0,-0.0,0.0,0.6,42
94,0.39166666666666666,0.0,0.0,0.39627620577812195,0.0,-0.0,0.0,0.6,42
95,0.3958333333333333,0.0,0.0,0.40025559067726135,0.0,-0.0,0.0,0.6,42
96,0.4,0.0,0.0,0.4041869342327118,0.0,-0.0,0.0,0.6,42
97,0.4041666666666667,0.0,0.0,0.40807023644447327,0.0,-0.0,0.0,0.6,42
98,0.4083333333333333,0.0,0.0,0.4119054675102234,0.0,-0.0,0.0,0.6,42
99,0.4125,0.0,0.0,0.41569265723228455,0.0,-0.0,0.0,0.6,42
100,0.4166666666666667,0.0,0.0,0.4194319248199463,0.0,-0.0,0.0,0.6,42
101,0.42083333333333334,0.0,0.0,0.4231233298778534,0.0,-0.0,0.0,0.6,42
102,0.425,0.0,0.0,0.4267670810222626,0.0,-0.0,0.0,0.6,42
103,0.42916666666666664,0.0,0.0,0.43036335706710815,0.0,-0.0,0.0,0.6,42
104,0.43333333333333335,0.0,0.0,0.43391239643096924,0.0,-0.0,0.0,0.6,42
105,0.4375,0.0,0.0,0.43741440773010254,0.0,-0.0,0.0,0.6,42
106,0.44166666666666665,0.0,0.0,0.4408697187900543,0.0,-0.0,0.0,0.6,42
107,0.44583333333333336,0.0,0.0,0.4442785978317261,0.0,-0.0,0.0,0.6,42
108,0.45,0.0,0.0,0.44764137268066406,0.0,-0.0,0.0,0.6,42
109,0.45416666666666666,0.0,0.0,0.45095840096473694,0.0,-0.0,0.0,0.6,42
110,0.4583333333333333,0.0,0.0,0.45423001050949097,0.0,-0.0,0.0,0.6,42
111,0.4625,0.0,0.0,0.4574565887451172,0.0,-0.0,0.0,0.6,42
112,0.4666666666666667,0.0,0.0,0.46063852310180664,0.0,-0.0,0.0,0.6,42
113,0.4708333333333333,0.0,0.0,0.46377623081207275,0.0,-0.0,0.0,0.6,42
114,0.475,0.0,0.0,0.46687012910842896,0.0,-0.0,0.0,0.6,42
115,0.4791666666666667,0.0,0.0,0.4699206054210663,0.0,-0.0,0.0,0.6,42
116,0.48333333333333334,0.0,0.0,0.47292810678482056,0.0,-0.0,0.0,0.6,42
117,0.4875,0.0,0.0,0.47589311003685,0.0,-0.0,0.0,0.6,42
118,0.49166666666666664,0.0,0.0,0.4788160026073456,0.0,-0.0,0.0,0.6,42
119,0.49583333333333335,0.0,0.0,0.4816972613334656,0.0,-0.0,0.0,0.6,42
120,0.5,0.0,0.0,0.4845373332500458,0.0,-0.0,0.0,0.6,42
121,0.5041666666666667,0.0,0.0,0.4873366951942444,0.0,-0.0,0.0,0.6,42
122,0.5083333333333333,0.0,0.0,0.4900957942008972,0.0,-0.0,0.0,0.6,42
123,0.5125,0.0,0.0,0.4928151071071625,0.0,-0.0,0.0,0.6,42
124,0.5166666666666667,0.0,0.0,0.49549511075019836,0.0,-0.0,0.0,0.6,42
125,0.5208333333333334,0.0,0.0,0.4981362521648407,0.0,-0.0,0.0,0.6,42
126,0.525,0.0,0.0,0.5007390379905701,0.0,-0.0,0.0,0.6,42
127,0.5291666666666667,0.0,0.0,0.5033038854598999,0.0,-0.0,0.0,0.6,42
128,0.5333333333333333,0.0,0.0,0.5058313012123108,0.0,-0.0,0.0,0.6,42
129,0.5375,0.0,0.0,0.5083217620849609,0.0,-0.0,0.0,0.6,42
130,0.5416666666666666,0.0,0.0,0.5107757449150085,0.0,-0.0,0.0,0.6,42
131,0.5458333333333333,0.0,0.0,0.5131937265396118,0.0,-0.0,0.0,0.6,42
132,0.55,0.0,0.0,0.5155760645866394,0.0,-0.0,0.0,0.6,42
133,0.5541666666666667,0.0,0.0,0.5179233551025391,0.0,-0.0,0.0,0.6,42
134,0.5583333333333333,0.0,0.0,0.5202359557151794,0.0,-0.0,0.0,0.6,42
135,0.5625,0.0,0.0,0.5225144624710083,0.0,-0.0,0.0,0.6,42
136,0.5666666666666667,0.0,0.0,0.5247592329978943,0.0,-0.0,0.0,0.6,42
137,0.5708333333333333,0.0,0.0,0.5269707441329956,0.0,-0.0,0.0,0.6,42
138,0.575,0.0,0.0,0.5291494131088257,0.0,-0.0,0.0,0.6,42
139,0.5791666666666667,0.0,0.0,0.5312957167625427,0.0,-0.0,0.0,0.6,42
140,0.5833333333333334,0.0,0.0,0.5334100723266602,0.0,-0.0,0.0,0.6,42
141,0.5875,0.0,0.0,0.5354929566383362,0.0,-0.0,0.0,0.6,42
142,0.5916666666666667,0.0,0.0,0.5375447869300842,0.0,-0.0,0.0,0.6,42
143,0.5958333333333333,0.0,0.0,0.5395659804344177,0.0,-0.0,0.0,0.6,42
144,0.6,0.0,0.0,0.5415570139884949,0.0,-0.0,0.0,0.6,42
145,0.6041666666666666,0.0,0.0,0.5435182452201843,0.0,-0.0,0.0,0.6,42
146,0.6083333333333333,0.0,0.0,0.5454501509666443,0.0,-0.0,0.0,0.6,42
147,0.6125,0.0,0.0,0.5473531484603882,0.0,-0.0,0.0,0.6,42
148,0.6166666666666667,0.0,0.0,0.5492275953292847,0.0,-0.0,0.0,0.6,42
149,0.6208333333333333,0.0,0.0,0.5510739088058472,0.0,-0.0,0.0,0.6,42
150,0.625,0.0,0.0,0.5528925657272339,0.0,-0.0,0.0,0.6,42
151,0.6291666666666667,0.0,0.0,0.5546839237213135,0.0,-0.0,0.0,0.6,42
152,0.6333333333333333,0.0,0.0,0.5564483404159546,0.0,-0.0,0.0,0.6,42
153,0.6375,0.0,0.0,0.5581862330436707,0.0,-0.0,0.0,0.6,42
154,0.6416666666666667,0.0,0.0,0.5598979592323303,0.0,-0.0,0.0,0.6,42
155,0.6458333333333334,0.0,0.0,0.561583936214447,0.0,-0.0,0.0,0.6,42
156,0.65,0.0,0.0,0.5632445216178894,0.0,-0.0,0.0,0.6,42
157,0.6541666666666667,0.0,0.0,0.5648800730705261,0.0,-0.0,0.0,0.6,42
158,0.6583333333333333,0.0,0.0,0.5664909482002258,0.0,-0.0,0.0,0.6,42
159,0.6625,0.0,0.0,0.5680775046348572,0.0,-0.0,0.0,0.6,42
160,0.6666666666666666,0.0,0.0,0.5696401000022888,0.0,-0.0,0.0,0.6,42
161,0.6708333333333333,0.0,0.0,0.5711791515350342,0.0,-0.0,0.0,0.6,42
162,0.675,0.0,0.0,0.5726949572563171,0.0,-0.0,0.0,0.6,42
163,0.6791666666666667,0.0,0.0,0.5741878151893616,0.0,-0.0,0.0,0.6,42
164,0.6833333333333333,0.0,0.0,0.5756580829620361,0.0,-0.0,0.0,0.6,42
165,0.6875,0.0,0.0,0.5771061778068542,0.0,-0.0,0.0,0.6,42
166,0.6916666666666667,0.0,0.0,0.578532338142395,0.0,-0.0,0.0,0.6,42
