step,time,x,y,z,roll,pitch,yaw,p_gain_mult,seed
31,0.12916666666666668,0.0,0.0,0.13528867065906525,0.0,-0.0,0.0,0.4,42
32,0.13333333333333333,0.0,0.0,0.13767820596694946,0.0,-0.0,0.0,0.4,42
33,0.1375,0.0,0.0,0.14011754095554352,0.0,-0.0,0.0,0.4,42
34,0.14166666666666666,0.0,0.0,0.14260144531726837,0.0,-0.0,0.0,0.4,42
35,0.14583333333333334,0.0,0.0,0.1451251059770584,0.0,-0.0,0.0,0.4,42
36,0.15,0.0,0.0,0.14768405258655548,0.0,-0.0,0.0,0.4,42
37,0.15416666666666667,0.0,0.0,0.1502740979194641,0.0,-0.0,0.0,0.4,42
38,0.15833333333333333,0.0,0.0,0.15289141237735748,0.0,-0.0,0.0,0.4,42
39,0.1625,0.0,0.0,0.15553241968154907,0.0,-0.0,0.0,0.4,42
40,0.16666666666666666,0.0,0.0,0.15819378197193146,0.0,-0.0,0.0,0.4,42
41,0.17083333333333334,0.0,0.0,0.1608724296092987,0.0,-0.0,0.0,0.4,42
42,0.175,0.0,0.0,0.16356529295444489,0.0,-0.0,0.0,0.4,42
43,0.17916666666666667,0.0,0.0,0.16626954078674316,0.0,-0.0,0.0,0.4,42
44,0.18333333333333332,0.0,0.0,0.16898253560066223,0.0,-0.0,0.0,0.4,42
45,0.1875,0.0,0.0,0.17170186340808868,0.0,-0.0,0.0,0.4,42
46,0.19166666666666668,0.0,0.0,0.17442528903484344,0.0,-0.0,0.0,0.4,42
47,0.19583333333333333,0.0,0.0,0.17715072631835938,0.0,-0.0,0.0,0.4,42
48,0.2,0.0,0.0,0.17987628281116486,0.0,-0.0,0.0,0.4,42
49,0.20416666666666666,0.0,0.0,0.18260018527507782,0.0,-0.0,0.0,0.4,42
50,0.20833333333333334,0.0,0.0,0.18532082438468933,0.0,-0.0,0.0,0.4,42
51,0.2125,0.0,0.0,0.1880366951227188,0.0,-0.0,0.0,0.4,42
52,0.21666666666666667,0.0,0.0,0.19074642658233643,0.0,-0.0,0.0,0.4,42
53,0.22083333333333333,0.0,0.0,0.1934487372636795,0.0,-0.0,0.0,0.4,42
54,0.225,0.0,0.0,0.19614249467849731,0.0,-0.0,0.0,0.4,42
55,0.22916666666666666,0.0,0.0,0.1988266110420227,0.0,-0.0,0.0,0.4,42
56,0.23333333333333334,0.0,0.0,0.20150010287761688,0.0,-0.0,0.0,0.4,42
57,0.2375,0.0,0.0,0.2041620910167694,0.0,-0.0,0.0,0.4,42
58,0.24166666666666667,0.0,0.0,0.20681177079677582,0.0,-0.0,0.0,0.4,42
59,0.24583333333333332,0.0,0.0,0.20944836735725403,0.0,-0.0,0.0,0.4,42
60,0.25,0.0,0.0,0.2120712250471115,0.0,-0.0,0.0,0.4,42
61,0.25416666666666665,0.0,0.0,0.21467970311641693,0.0,-0.0,0.0,0.4,42
62,0.25833333333333336,0.0,0.0,0.21727325022220612,0.0,-0.0,0.0,0.4,42
63,0.2625,0.0,0.0,0.21985135972499847,0.0,-0.0,0.0,0.4,42
64,0.26666666666666666,0.0,0.0,0.2224135845899582,0.0,-0.0,0.0,0.4,42
65,0.2708333333333333,0.0,0.0,0.22495950758457184,0.0,-0.0,0.0,0.4,42
66,0.275,0.0,0.0,0.22748874127864838,0.0,-0.0,0.0,0.4,42
67,0.2791666666666667,0.0,0.0,0.23000095784664154,0.0,-0.0,0.0,0.4,42
68,0.2833333333333333,0.0,0.0,0.23249587416648865,0.0,-0.0,0.0,0.4,42
