step,time,x,y,z,roll,pitch,yaw,p_gain_mult,seed
0,0.0,0.0,0.0,0.09982986003160477,0.0,-0.0,0.0,0.3,7777
1,0.004166666666666667,0.0,0.0,0.09974229335784912,0.0,-0.0,0.0,0.3,7777
2,0.008333333333333333,0.0,0.0,0.0997372642159462,0.0,-0.0,0.0,0.3,7777
3,0.0125,0.0,0.0,0.0998147502541542,0.0,-0.0,0.0,0.3,7777
4,0.016666666666666666,0.0,0.0,0.09997471421957016,0.0,-0.0,0.0,0.3,7777
5,0.020833333333333332,0.0,0.0,0.10021713376045227,0.0,-0.0,0.0,0.3,7777
6,0.025,0.0,0.0,0.10054197907447815,0.0,-0.0,0.0,0.3,7777
7,0.029166666666666667,0.0,0.0,0.10094922035932541,0.0,-0.0,0.0,0.3,7777
8,0.03333333333333333,0.0,0.0,0.10143323987722397,0.0,-0.0,0.0,0.3,7777
9,0.0375,0.0,0.0,0.10198809951543808,0.0,-0.0,0.0,0.3,7777
10,0.041666666666666664,0.0,0.0,0.10260827839374542,0.0,-0.0,0.0,0.3,7777
11,0.04583333333333333,0.0,0.0,0.10328865051269531,0.0,-0.0,0.0,0.3,7777
12,0.05,0.0,0.0,0.10402446240186691,0.0,-0.0,0.0,0.3,7777
13,0.05416666666666667,0.0,0.0,0.10481129586696625,0.0,-0.0,0.0,0.3,7777
14,0.058333333333333334,0.0,0.0,0.1056450605392456,0.0,-0.0,0.0,0.3,7777
15,0.0625,0.0,0.0,0.10652195662260056,0.0,-0.0,0.0,0.3,7777
16,0.06666666666666667,0.0,0.0,0.10743844509124756,0.0,-0.0,0.0,0.3,7777
17,0.07083333333333333,0.0,0.0,0.10839127004146576,0.0,-0.0,0.0,0.3,7777
18,0.075,0.0,0.0,0.10937737673521042,0.0,-0.0,0.0,0.3,7777
19,0.07916666666666666,0.0,0.0,0.1103939563035965,0.0,-0.0,0.0,0.3,7777
20,0.08333333333333333,0.0,0.0,0.11143838614225388,0.0,-0.0,0.0,0.3,7777
21,0.0875,0.0,0.0,0.11250824481248856,0.0,-0.0,0.0,0.3,7777
