step,time,x,y,z,roll,pitch,yaw,p_gain_mult
0,0.0,0.0,0.0,0.09982986003160477,0.0,-0.0,0.0,0.05
1,0.004166666666666667,0.0,0.0,0.09941837191581726,0.0,-0.0,0.0,0.05
2,0.008333333333333333,0.0,0.0,0.09878452122211456,0.0,-0.0,0.0,0.05
3,0.0125,0.0,0.0,0.09794582426548004,0.0,-0.0,0.0,0.05
4,0.016666666666666666,0.0,0.0,0.096918486058712,0.0,-0.0,0.0,0.05
5,0.020833333333333332,0.0,0.0,0.09571745991706848,0.0,-0.0,0.0,0.05
6,0.025,0.0,0.0,0.09435655176639557,0.0,-0.0,0.0,0.05
7,0.029166666666666667,0.0,0.0,0.0928485244512558,0.0,-0.0,0.0,0.05
8,0.03333333333333333,0.0,0.0,0.0912051573395729,0.0,-0.0,0.0,0.05
9,0.0375,0.0,0.0,0.0894373282790184,0.0,-0.0,0.0,0.05
10,0.041666666666666664,0.0,0.0,0.08755508065223694,0.0,-0.0,0.0,0.05
11,0.04583333333333333,0.0,0.0,0.08556769043207169,0.0,-0.0,0.0,0.05
12,0.05,0.0,0.0,0.0834837332367897,0.0,-0.0,0.0,0.05
13,0.05416666666666667,0.0,0.0,0.08131111413240433,0.0,-0.0,0.0,0.05
14,0.058333333333333334,0.0,0.0,0.07905713468790054,0.0,-0.0,0.0,0.05
15,0.0625,0.0,0.0,0.07672854512929916,0.0,-0.0,0.0,0.05
16,0.06666666666666667,0.0,0.0,0.07433157414197922,0.0,-0.0,0.0,0.05
17,0.07083333333333333,0.0,0.0,0.07187196612358093,0.0,-0.0,0.0,0.05
18,0.075,0.0,0.0,0.06935504078865051,0.0,-0.0,0.0,0.05
19,0.07916666666666666,0.0,0.0,0.06678570061922073,0.0,-0.0,0.0,0.05
20,0.08333333333333333,0.0,0.0,0.06416847556829453,0.0,-0.0,0.0,0.05
21,0.0875,0.0,0.0,0.061507537961006165,0.0,-0.0,0.0,0.05
22,0.09166666666666666,0.0,0.0,0.058806754648685455,0.0,-0.0,0.0,0.05
23,0.09583333333333334,0.0,0.0,0.056069690734148026,0.0,-0.0,0.0,0.05
24,0.1,0.0,0.0,0.05329963564872742,0.0,-0.0,0.0,0.05
25,0.10416666666666667,0.0,0.0,0.05049963295459747,0.0,-0.0,0.0,0.05
26,0.10833333333333334,0.0,0.0,0.04767248407006264,0.0,-0.0,0.0,0.05
27,0.1125,0.0,0.0,0.04482078179717064,0.0,-0.0,0.0,0.05
28,0.11666666666666667,0.0,0.0,0.04194691777229309,0.0,-0.0,0.0,0.05
29,0.12083333333333333,0.0,0.0,0.03905310481786728,0.0,-0.0,0.0,0.05
30,0.125,0.0,0.0,0.03614138066768646,0.0,-0.0,0.0,0.05
31,0.12916666666666668,0.0,0.0,0.03321363031864166,0.0,-0.0,0.0,0.05
32,0.13333333333333333,0.0,0.0,0.03027159348130226,0.0,-0.0,0.0,0.05
33,0.1375,0.0,0.0,0.027316875755786896,0.0,-0.0,0.0,0.05
34,0.14166666666666666,0.0,0.0,0.024350959807634354,0.0,-0.0,0.0,0.05
35,0.14583333333333334,0.0,0.0,0.021375218406319618,0.0,-0.0,0.0,0.05
36,0.15,0.0,0.0,0.018390914425253868,0.0,-0.0,0.0,0.05
37,0.15416666666666667,0.0,0.0,0.015399215742945671,0.0,-0.0,0.0,0.05
38,0.15833333333333333,0.0,0.0,0.013490082696080208,0.0,-0.0,0.0,0.05
39,0.1625,-7.850941563525282e-10,-7.850937122633184e-10,0.013490015640854836,5.792819735006564e-08,-5.792818313921092e-08,-1.676990261924866e-15,0.05
40,0.16666666666666666,-1.7772191496234768e-09,-1.7743346791831982e-09,0.013490069657564163,7.2953760366084e-08,-7.34560714477146e-08,1.6614740467978966e-13,0.05
41,0.17083333333333334,-2.040435154171405e-09,-2.0403470024632497e-09,0.013490129262208939,7.555834002914242e-08,-7.49827222534853e-08,1.2371380178235115e-13,0.05
42,0.175,4.698039735018256e-09,4.698134326019954e-09,0.013490117155015469,2.920431256825238e-07,-2.9262520229169825e-07,9.315310299400208e-14,0.05
43,0.17916666666666667,1.2873210053498951e-08,1.2870494892069928e-08,0.01349017582833767,2.2199901650290771e-07,-2.209269780453013e-07,1.7772144673941078e-12,0.05
44,0.18333333333333332,1.4790873414938233e-08,1.4785207724798966e-08,0.013490146957337856,1.2063686938282054e-07,-1.207968125528121e-07,1.4173612346887871e-12,0.05
45,0.1875,1.5134162367758108e-08,1.5134181907683342e-08,0.013490002602338791,1.6506767508402174e-07,-1.650756473738229e-07,1.839807794658448e-12,0.05
46,0.19166666666666668,2.0942239942201013e-08,2.0945103429426126e-08,0.013490176759660244,3.039414195879657e-07,-3.0444891763208716e-07,1.7030021394749678e-12,0.05
47,0.19583333333333333,2.787124842029698e-08,2.7874158092799917e-08,0.013490068726241589,2.8888135261661956e-07,-2.8881038360884936e-07,2.3039701781886112e-12,0.05
48,0.2,3.4775645474383055e-08,3.4778604884877495e-08,0.013490427285432816,3.4112048297140203e-07,-3.416282936544963e-07,1.9957714597870985e-12,0.05
49,0.20416666666666666,4.145452692227991e-08,4.145760357232575e-08,0.013490133918821812,3.647950563841642e-07,-3.6472914644075697e-07,2.0221423024677704e-12,0.05
50,0.20833333333333334,4.275574738699106e-08,4.27589412765883e-08,0.01349020004272461,1.9078578361567358e-07,-1.913035276858982e-07,2.000381925421387e-12,0.05
51,0.2125,4.276371612377261e-08,4.276997600527466e-08,0.01349023636430502,2.988232381535398e-07,-2.992745749002236e-07,3.0618485186766246e-12,0.05
52,0.21666666666666667,4.2319630466636227e-08,4.232904515788505e-08,0.01349017396569252,1.7289957554538732e-07,-1.7386612682940893e-07,3.2559075180236352e-12,0.05
53,0.22083333333333333,4.415512933064747e-08,4.4164970347537746e-08,0.013489879667758942,3.92879712762101e-07,-3.932883601017207e-07,3.559046856281809e-12,0.05
54,0.225,5.090772248195208e-08,5.091806087875739e-08,0.013490166515111923,4.38185850269908e-07,-4.391991410569524e-07,5.446577771059719e-12,0.05
55,0.22916666666666666,5.654313639524844e-08,5.655699553130944e-08,0.013490220531821251,4.3716875097640305e-07,-4.3814193873109846e-07,4.677058718852591e-12,0.05
56,0.23333333333333334,6.182771272733589e-08,6.183950063132215e-08,0.013490361161530018,4.6199488679013823e-07,-4.6251048502310477e-07,4.63006483813409e-12,0.05
57,0.2375,6.683734454782098e-08,6.684712161586503e-08,0.013490102253854275,4.974978082816855e-07,-4.981422989669731e-07,4.383405778868506e-12,0.05
58,0.24166666666666667,6.750276781986031e-08,6.750485681550344e-08,0.013490096665918827,3.2981122899327665e-07,-3.2900973678880684e-07,4.400972734166435e-12,0.05
59,0.24583333333333332,6.718949663309104e-08,6.719528755638748e-08,0.013490002602338791,4.3007727867804683e-07,-4.3157368168181483e-07,5.146597210763256e-12,0.05
