step,time,x,y,z,roll,pitch,yaw,p_gain_mult,seed
0,0.0,0.0,0.0,0.09982986003160477,0.0,-0.0,0.0,0.8,7777
1,0.004166666666666667,0.0,0.0,0.09974229335784912,0.0,-0.0,0.0,0.8,7777
2,0.008333333333333333,0.0,0.0,0.0997372642159462,0.0,-0.0,0.0,0.8,7777
3,0.0125,0.0,0.0,0.0998147502541542,0.0,-0.0,0.0,0.8,7777
4,0.016666666666666666,0.0,0.0,0.09997471421957016,0.0,-0.0,0.0,0.8,7777
5,0.020833333333333332,0.0,0.0,0.10021713376045227,0.0,-0.0,0.0,0.8,7777
6,0.025,0.0,0.0,0.10054197907447815,0.0,-0.0,0.0,0.8,7777
7,0.029166666666666667,0.0,0.0,0.10094922035932541,0.0,-0.0,0.0,0.8,7777
8,0.03333333333333333,0.0,0.0,0.10143882781267166,0.0,-0.0,0.0,0.8,7777
9,0.0375,0.0,0.0,0.10201077163219452,0.0,-0.0,0.0,0.8,7777
10,0.041666666666666664,0.0,0.0,0.1026650220155716,0.0,-0.0,0.0,0.8,7777
11,0.04583333333333333,0.0,0.0,0.1034015491604805,0.0,-0.0,0.0,0.8,7777
12,0.05,0.0,0.0,0.10422030836343765,0.0,-0.0,0.0,0.8,7777
13,0.05416666666666667,0.0,0.0,0.10512128472328186,0.0,-0.0,0.0,0.8,7777
14,0.058333333333333334,0.0,0.0,0.10610443353652954,0.0,-0.0,0.0,0.8,7777
15,0.0625,0.0,0.0,0.1071697250008583,0.0,-0.0,0.0,0.8,7777
16,0.06666666666666667,0.0,0.0,0.10831712186336517,0.0,-0.0,0.0,0.8,7777
17,0.07083333333333333,0.0,0.0,0.10954658687114716,0.0,-0.0,0.0,0.8,7777
18,0.075,0.0,0.0,0.11085809022188187,0.0,-0.0,0.0,0.8,7777
19,0.07916666666666666,0.0,0.0,0.11225160211324692,0.0,-0.0,0.0,0.8,7777
20,0.08333333333333333,0.0,0.0,0.11372707039117813,0.0,-0.0,0.0,0.8,7777
21,0.0875,0.0,0.0,0.11528447270393372,0.0,-0.0,0.0,0.8,7777
22,0.09166666666666666,0.0,0.0,0.11692376434803009,0.0,-0.0,0.0,0.8,7777
23,0.09583333333333334,0.0,0.0,0.11864490807056427,0.0,-0.0,0.0,0.8,7777
24,0.1,0.0,0.0,0.12044786661863327,0.0,-0.0,0.0,0.8,7777
25,0.10416666666666667,0.0,0.0,0.1223326027393341,0.0,-0.0,0.0,0.8,7777
26,0.10833333333333334,0.0,0.0,0.1242990717291832,0.0,-0.0,0.0,0.8,7777
27,0.1125,0.0,0.0,0.12634722888469696,0.0,-0.0,0.0,0.8,7777
28,0.11666666666666667,0.0,0.0,0.1284770518541336,0.0,-0.0,0.0,0.8,7777
29,0.12083333333333333,0.0,0.0,0.13068848848342896,0.0,-0.0,0.0,0.8,7777
30,0.125,0.0,0.0,0.13298149406909943,0.0,-0.0,0.0,0.8,7777
31,0.12916666666666668,0.0,0.0,0.13535603880882263,0.0,-0.0,0.0,0.8,7777
32,0.13333333333333333,0.0,0.0,0.1378120630979538,0.0,-0.0,0.0,0.8,7777
33,0.1375,0.0,0.0,0.14034953713417053,0.0,-0.0,0.0,0.8,7777
34,0.14166666666666666,0.0,0.0,0.14296841621398926,0.0,-0.0,0.0,0.8,7777
35,0.14583333333333334,0.0,0.0,0.1456686556339264,0.0,-0.0,0.0,0.8,7777
36,0.15,0.0,0.0,0.14845019578933716,0.0,-0.0,0.0,0.8,7777
37,0.15416666666666667,0.0,0.0,0.15131302177906036,0.0,-0.0,0.0,0.8,7777
38,0.15833333333333333,0.0,0.0,0.15425705909729004,0.0,-0.0,0.0,0.8,7777
39,0.1625,0.0,0.0,0.1572822779417038,0.0,-0.0,0.0,0.8,7777
40,0.16666666666666666,0.0,0.0,0.16038861870765686,0.0,-0.0,0.0,0.8,7777
41,0.17083333333333334,0.0,0.0,0.16357603669166565,0.0,-0.0,0.0,0.8,7777
42,0.175,0.0,0.0,0.16684450209140778,0.0,-0.0,0.0,0.8,7777
43,0.17916666666666667,0.0,0.0,0.17019395530223846,0.0,-0.0,0.0,0.8,7777
44,0.18333333333333332,0.0,0.0,0.17362433671951294,0.0,-0.0,0.0,0.8,7777
45,0.1875,0.0,0.0,0.1771356165409088,0.0,-0.0,0.0,0.8,7777
46,0.19166666666666668,0.0,0.0,0.1807277351617813,0.0,-0.0,0.0,0.8,7777
47,0.19583333333333333,0.0,0.0,0.18440064787864685,0.0,-0.0,0.0,0.8,7777
48,0.2,0.0,0.0,0.18815430998802185,0.0,-0.0,0.0,0.8,7777
49,0.20416666666666666,0.0,0.0,0.19198866188526154,0.0,-0.0,0.0,0.8,7777
50,0.20833333333333334,0.0,0.0,0.19590364396572113,0.0,-0.0,0.0,0.8,7777
51,0.2125,0.0,0.0,0.19989919662475586,0.0,-0.0,0.0,0.8,7777
52,0.21666666666666667,0.0,0.0,0.20397529006004333,0.0,-0.0,0.0,0.8,7777
53,0.22083333333333333,0.0,0.0,0.20813186466693878,0.0,-0.0,0.0,0.8,7777
54,0.225,0.0,0.0,0.21236886084079742,0.0,-0.0,0.0,0.8,7777
55,0.22916666666666666,0.0,0.0,0.21668623387813568,0.0,-0.0,0.0,0.8,7777
56,0.23333333333333334,0.0,0.0,0.22108392417430878,0.0,-0.0,0.0,0.8,7777
57,0.2375,0.0,0.0,0.22556187212467194,0.0,-0.0,0.0,0.8,7777
58,0.24166666666666667,0.0,0.0,0.23012003302574158,0.0,-0.0,0.0,0.8,7777
59,0.24583333333333332,0.0,0.0,0.23475834727287292,0.0,-0.0,0.0,0.8,7777
60,0.25,0.0,0.0,0.2394767552614212,0.0,-0.0,0.0,0.8,7777
61,0.25416666666666665,0.0,0.0,0.24427519738674164,0.0,-0.0,0.0,0.8,7777
62,0.25833333333333336,0.0,0.0,0.24915361404418945,0.0,-0.0,0.0,0.8,7777
63,0.2625,0.0,0.0,0.2541119456291199,0.0,-0.0,0.0,0.8,7777
64,0.26666666666666666,0.0,0.0,0.2591501772403717,0.0,-0.0,0.0,0.8,7777
65,0.2708333333333333,0.0,0.0,0.2642682194709778,0.0,-0.0,0.0,0.8,7777
66,0.275,0.0,0.0,0.26946598291397095,0.0,-0.0,0.0,0.8,7777
67,0.2791666666666667,0.0,0.0,0.2747434377670288,0.0,-0.0,0.0,0.8,7777
68,0.2833333333333333,0.0,0.0,0.2801005244255066,0.0,-0.0,0.0,0.8,7777
69,0.2875,0.0,0.0,0.28553715348243713,0.0,-0.0,0.0,0.8,7777
70,0.2916666666666667,0.0,0.0,0.29105332493782043,0.0,-0.0,0.0,0.8,7777
71,0.29583333333333334,0.0,0.0,0.29664894938468933,0.0,-0.0,0.0,0.8,7777
72,0.3,0.0,0.0,0.30232393741607666,0.0,-0.0,0.0,0.8,7777
73,0.30416666666666664,0.0,0.0,0.30807825922966003,0.0,-0.0,0.0,0.8,7777
74,0.30833333333333335,0.0,0.0,0.3139118254184723,0.0,-0.0,0.0,0.8,7777
75,0.3125,0.0,0.0,0.31982460618019104,0.0,-0.0,0.0,0.8,7777
76,0.31666666666666665,0.0,0.0,0.3258165121078491,0.0,-0.0,0.0,0.8,7777
77,0.32083333333333336,0.0,0.0,0.33188748359680176,0.0,-0.0,0.0,0.8,7777
78,0.325,0.0,0.0,0.3380282521247864,0.0,-0.0,0.0,0.8,7777
79,0.32916666666666666,0.0,0.0,0.3442254960536957,0.0,-0.0,0.0,0.8,7777
80,0.3333333333333333,0.0,0.0,0.35046684741973877,0.0,-0.0,0.0,0.8,7777
81,0.3375,0.0,0.0,0.3567408621311188,0.0,-0.0,0.0,0.8,7777
82,0.3416666666666667,0.0,0.0,0.3630368709564209,0.0,-0.0,0.0,0.8,7777
83,0.3458333333333333,0.0,0.0,0.369345098733902,0.0,-0.0,0.0,0.8,7777
84,0.35,0.0,0.0,0.37565648555755615,0.0,-0.0,0.0,0.8,7777
85,0.3541666666666667,0.0,0.0,0.38196268677711487,0.0,-0.0,0.0,0.8,7777
86,0.35833333333333334,0.0,0.0,0.3882559537887573,0.0,-0.0,0.0,0.8,7777
87,0.3625,0.0,0.0,0.3945292532444,0.0,-0.0,0.0,0.8,7777
88,0.36666666666666664,0.0,0.0,0.4007760286331177,0.0,-0.0,0.0,0.8,7777
89,0.37083333333333335,0.0,0.0,0.4069903492927551,0.0,-0.0,0.0,0.8,7777
90,0.375,0.0,0.0,0.41316673159599304,0.0,-0.0,0.0,0.8,7777
91,0.37916666666666665,0.0,0.0,0.41930022835731506,0.0,-0.0,0.0,0.8,7777
92,0.38333333333333336,0.0,0.0,0.4253862500190735,0.0,-0.0,0.0,0.8,7777
93,0.3875,0.0,0.0,0.4314207136631012,0.0,-0.0,0.0,0.8,7777
94,0.39166666666666666,0.0,0.0,0.43739986419677734,0.0,-0.0,0.0,0.8,7777
95,0.3958333333333333,0.0,0.0,0.44332030415534973,0.0,-0.0,0.0,0.8,7777
96,0.4,0.0,0.0,0.4491790235042572,0.0,-0.0,0.0,0.8,7777
97,0.4041666666666667,0.0,0.0,0.4549732804298401,0.0,-0.0,0.0,0.8,7777
98,0.4083333333333333,0.0,0.0,0.460700660943985,0.0,-0.0,0.0,0.8,7777
99,0.4125,0.0,0.0,0.46635901927948,0.0,-0.0,0.0,0.8,7777
100,0.4166666666666667,0.0,0.0,0.4719464182853699,0.0,-0.0,0.0,0.8,7777
101,0.42083333333333334,0.0,0.0,0.4774612486362457,0.0,-0.0,0.0,0.8,7777
102,0.425,0.0,0.0,0.48290205001831055,0.0,-0.0,0.0,0.8,7777
103,0.42916666666666664,0.0,0.0,0.48826760053634644,0.0,-0.0,0.0,0.8,7777
104,0.43333333333333335,0.0,0.0,0.4935568571090698,0.0,-0.0,0.0,0.8,7777
105,0.4375,0.0,0.0,0.49876898527145386,0.0,-0.0,0.0,0.8,7777
106,0.44166666666666665,0.0,0.0,0.5039032697677612,0.0,-0.0,0.0,0.8,7777
107,0.44583333333333336,0.0,0.0,0.508959174156189,0.0,-0.0,0.0,0.8,7777
108,0.45,0.0,0.0,0.5139362812042236,0.0,-0.0,0.0,0.8,7777
109,0.45416666666666666,0.0,0.0,0.5188343524932861,0.0,-0.0,0.0,0.8,7777
110,0.4583333333333333,0.0,0.0,0.5236532688140869,0.0,-0.0,0.0,0.8,7777
111,0.4625,0.0,0.0,0.5283929705619812,0.0,-0.0,0.0,0.8,7777
112,0.4666666666666667,0.0,0.0,0.5330535173416138,0.0,-0.0,0.0,0.8,7777
113,0.4708333333333333,0.0,0.0,0.5376350283622742,0.0,-0.0,0.0,0.8,7777
114,0.475,0.0,0.0,0.542137861251831,0.0,-0.0,0.0,0.8,7777
115,0.4791666666666667,0.0,0.0,0.5465623140335083,0.0,-0.0,0.0,0.8,7777
116,0.48333333333333334,0.0,0.0,0.5509088039398193,0.0,-0.0,0.0,0.8,7777
117,0.4875,0.0,0.0,0.5551778078079224,0.0,-0.0,0.0,0.8,7777
118,0.49166666666666664,0.0,0.0,0.5593698024749756,0.0,-0.0,0.0,0.8,7777
119,0.49583333333333335,0.0,0.0,0.5634855031967163,0.0,-0.0,0.0,0.8,7777
120,0.5,0.0,0.0,0.5675254464149475,0.0,-0.0,0.0,0.8,7777
121,0.5041666666666667,0.0,0.0,0.5714904069900513,0.0,-0.0,0.0,0.8,7777
122,0.5083333333333333,0.0,0.0,0.5753811001777649,0.0,-0.0,0.0,0.8,7777
123,0.5125,0.0,0.0,0.5791982412338257,0.0,-0.0,0.0,0.8,7777
124,0.5166666666666667,0.0,0.0,0.5829427242279053,0.0,-0.0,0.0,0.8,7777
125,0.5208333333333334,0.0,0.0,0.5866153240203857,0.0,-0.0,0.0,0.8,7777
126,0.525,0.0,0.0,0.5902169942855835,0.0,-0.0,0.0,0.8,7777
127,0.5291666666666667,0.0,0.0,0.5937485694885254,0.0,-0.0,0.0,0.8,7777
128,0.5333333333333333,0.0,0.0,0.5972108840942383,0.0,-0.0,0.0,0.8,7777
129,0.5375,0.0,0.0,0.6006050109863281,0.0,-0.0,0.0,0.8,7777
130,0.5416666666666666,0.0,0.0,0.6039317846298218,0.0,-0.0,0.0,0.8,7777
131,0.5458333333333333,0.0,0.0,0.6071922183036804,0.0,-0.0,0.0,0.8,7777
132,0.55,0.0,0.0,0.6103872060775757,0.0,-0.0,0.0,0.8,7777
133,0.5541666666666667,0.0,0.0,0.6135178208351135,0.0,-0.0,0.0,0.8,7777
134,0.5583333333333333,0.0,0.0,0.6165849566459656,0.0,-0.0,0.0,0.8,7777
135,0.5625,0.0,0.0,0.619589626789093,0.0,-0.0,0.0,0.8,7777
136,0.5666666666666667,0.0,0.0,0.622532844543457,0.0,-0.0,0.0,0.8,7777
137,0.5708333333333333,0.0,0.0,0.625415563583374,0.0,-0.0,0.0,0.8,7777
138,0.575,0.0,0.0,0.6282387971878052,0.0,-0.0,0.0,0.8,7777
139,0.5791666666666667,0.0,0.0,0.6310036182403564,0.0,-0.0,0.0,0.8,7777
140,0.5833333333333334,0.0,0.0,0.6337108612060547,0.0,-0.0,0.0,0.8,7777
141,0.5875,0.0,0.0,0.6363615989685059,0.0,-0.0,0.0,0.8,7777
142,0.5916666666666667,0.0,0.0,0.6389568448066711,0.0,-0.0,0.0,0.8,7777
143,0.5958333333333333,0.0,0.0,0.6414975523948669,0.0,-0.0,0.0,0.8,7777
144,0.6,0.0,0.0,0.6439846754074097,0.0,-0.0,0.0,0.8,7777
145,0.6041666666666666,0.0,0.0,0.6464191675186157,0.0,-0.0,0.0,0.8,7777
146,0.6083333333333333,0.0,0.0,0.6488019824028015,0.0,-0.0,0.0,0.8,7777
147,0.6125,0.0,0.0,0.6511341333389282,0.0,-0.0,0.0,0.8,7777
148,0.6166666666666667,0.0,0.0,0.6534164547920227,0.0,-0.0,0.0,0.8,7777
149,0.6208333333333333,0.0,0.0,0.6556499004364014,0.0,-0.0,0.0,0.8,7777
150,0.625,0.0,0.0,0.6578354239463806,0.0,-0.0,0.0,0.8,7777
151,0.6291666666666667,0.0,0.0,0.6599739789962769,0.0,-0.0,0.0,0.8,7777
152,0.6333333333333333,0.0,0.0,0.6620664000511169,0.0,-0.0,0.0,0.8,7777
153,0.6375,0.0,0.0,0.6641135811805725,0.0,-0.0,0.0,0.8,7777
154,0.6416666666666667,0.0,0.0,0.6661164164543152,0.0,-0.0,0.0,0.8,7777
155,0.6458333333333334,0.0,0.0,0.6680757999420166,0.0,-0.0,0.0,0.8,7777
156,0.65,0.0,0.0,0.6699925661087036,0.0,-0.0,0.0,0.8,7777
157,0.6541666666666667,0.0,0.0,0.6718676090240479,0.0,-0.0,0.0,0.8,7777
158,0.6583333333333333,0.0,0.0,0.6737016439437866,0.0,-0.0,0.0,0.8,7777
159,0.6625,0.0,0.0,0.6754955649375916,0.0,-0.0,0.0,0.8,7777
160,0.6666666666666666,0.0,0.0,0.6772502064704895,0.0,-0.0,0.0,0.8,7777
161,0.6708333333333333,0.0,0.0,0.6789662837982178,0.0,-0.0,0.0,0.8,7777
162,0.675,0.0,0.0,0.6806446313858032,0.0,-0.0,0.0,0.8,7777
163,0.6791666666666667,0.0,0.0,0.6822860240936279,0.0,-0.0,0.0,0.8,7777
164,0.6833333333333333,0.0,0.0,0.6838911771774292,0.0,-0.0,0.0,0.8,7777
165,0.6875,0.0,0.0,0.6854608654975891,0.0,-0.0,0.0,0.8,7777
166,0.6916666666666667,0.0,0.0,0.6869958639144897,0.0,-0.0,0.0,0.8,7777
